Angule Distance	Quality
0.5438 167.0 188
5.6250 768.0 188
5.9216 764.0 188
6.2183 764.0 188
6.5149 766.0 188
6.8115 766.0 188
7.0422 770.0 188
7.3389 774.0 188
7.6355 778.0 188
7.9321 782.0 188
8.2343 786.0 188
8.5309 792.0 188
8.7781 800.0 188
9.0747 810.0 188
9.3109 822.0 188
9.9042 836.0 188
10.6403 1130.0 188
10.9369 1130.0 188
11.2335 1130.0 188
11.5302 1130.0 188
11.8268 1132.0 188
12.1234 1130.0 188
12.4200 1126.0 188
12.7167 1122.0 188
13.0133 1120.0 188
13.3704 1116.0 188
13.6066 1118.0 188
13.9032 1122.0 188
14.1998 1122.0 188
14.4965 1128.0 188
14.7931 1134.0 188
15.0897 1140.0 188
15.6830 1148.0 188
16.6827 3472.0 188
16.9794 3468.0 188
17.2760 3424.0 188
17.5781 3364.0 188
17.8748 3344.0 188
18.4680 3344.0 188
18.7482 3456.0 188
19.0448 3460.0 188
19.3414 3460.0 188
19.6381 3472.0 188
19.9347 3464.0 188
20.2313 3436.0 188
20.5280 3448.0 188
21.0773 3704.0 188
21.7145 3504.0 188
21.9672 3516.0 188
23.0933 4312.0 188
23.3899 4320.0 188
23.6865 4280.0 188
24.5764 4272.0 188
24.8730 4288.0 188
25.1697 4280.0 188
25.4663 4280.0 188
30.1245 812.0 188
30.4211 812.0 188
30.7178 810.0 188
31.0144 810.0 188
31.3110 808.0 188
31.6077 806.0 188
31.9043 806.0 188
32.2009 804.0 188
32.4976 804.0 188
33.0908 812.0 188
33.3875 798.0 188
33.6841 800.0 188
33.9807 796.0 188
34.2938 798.0 188
34.5905 796.0 188
34.8871 794.0 188
35.1837 796.0 188
35.7770 798.0 188
55.3711 411.0 188
60.1392 382.0 188
61.6827 377.0 188
62.0453 371.0 188
62.6385 369.0 188
62.9517 368.0 188
63.2483 368.0 188
63.9020 366.0 188
64.1986 364.0 188
64.4952 362.0 188
64.8413 360.0 188
65.1379 359.0 188
65.4346 358.0 188
65.7312 357.0 188
66.0938 356.0 188
66.3904 354.0 188
66.6870 353.0 188
66.9836 353.0 188
67.2803 352.0 188
67.5769 352.0 188
67.9340 351.0 188
68.2306 349.0 188
68.5272 348.0 188
68.8239 347.0 188
69.1205 347.0 188
69.4830 346.0 188
70.3729 345.0 188
72.8558 1204.0 188
73.1525 1204.0 188
73.4491 1202.0 188
73.7457 1202.0 188
74.0424 1202.0 188
74.3555 1204.0 188
74.6521 1204.0 188
74.9487 1204.0 188
75.2454 1204.0 188
75.5420 1204.0 188
75.8386 1204.0 188
76.4374 1210.0 188
77.2449 2740.0 188
77.5415 2740.0 188
77.8436 2748.0 188
78.1403 2792.0 188
78.4369 2820.0 188
78.7335 2808.0 188
79.0302 2800.0 188
79.3268 2792.0 188
79.6234 2784.0 188
79.9200 2772.0 188
80.2167 2764.0 188
80.5133 2760.0 188
81.7767 1204.0 188
82.0734 1192.0 188
82.4359 1168.0 188
82.7325 1154.0 188
83.0292 1144.0 188
83.3258 1130.0 188
83.6829 1116.0 188
83.9795 1110.0 188
84.2761 1104.0 188
84.5728 1098.0 188
84.8749 1092.0 188
85.1715 1086.0 188
85.4681 1082.0 188
85.7648 1078.0 188
86.0614 1074.0 188
86.4185 1068.0 188
86.7151 1064.0 188
87.0117 1060.0 188
87.3083 1058.0 188
87.6050 1056.0 188
87.9016 1052.0 188
88.1982 1050.0 188
88.4949 1048.0 188
88.7915 1046.0 188
89.0936 1044.0 188
89.3903 1042.0 188
89.6869 1040.0 188
89.9835 1038.0 188
90.2802 1038.0 188
90.5768 1038.0 188
90.8734 1036.0 188
91.1700 1036.0 188
91.4667 1036.0 188
91.7633 1034.0 188
92.0599 1034.0 188
92.3566 1034.0 188
92.6532 1034.0 188
92.9498 1034.0 188
93.2465 1034.0 188
93.5431 1036.0 188
93.8397 1036.0 188
94.1364 1036.0 188
94.4330 1036.0 188
94.7296 1038.0 188
95.0262 1038.0 188
95.3229 1040.0 188
95.6085 1040.0 188
96.7181 768.0 188
